roll,sem,course_code,type,floated,offered_for_minor,fac_empid,fac_masterid,comment1,comment2
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401ME,1,MA1101,CORE,1,0.0,,,,
2401ME,1,CS1101,CORE,1,0.0,,,,
2401ME,1,PH1101/PH1201,CORE,1,0.0,,,,
2401ME,1,CE1101/CE1201,CORE,1,0.0,,,,
2401ME,1,EE1101/EE1201,CORE,1,0.0,,,,
2401ME,1,HS1101,CORE,1,0.0,,,,
2401ME,2,MA1201,CORE,1,0.0,,,,
2401ME,2,CS1201,CORE,1,0.0,,,,
2401ME,2,CH1201/CH1101,CORE,1,0.0,,,,
2401ME,2,ME1201/ME1101,CORE,1,0.0,,,,
2401ME,2,ME1202/ME1102,CORE,1,0.0,,,,
2401ME,2,IK1101,IKS,1,0.0,,,,
2401ME,3,ME2101,CORE,1,0.0,,,,
2401ME,3,ME2102,CORE,1,0.0,,,,
2401ME,3,ME2103,3-1-0,1,0.0,,,,
2401ME,3,ME2104,3-1-0,1,0.0,,,,
2401ME,3,ME2102,CORE,1,1.0,,,,
2401ME,4,ME2201,CORE,1,0.0,,,,
2401ME,4,ME2202,CORE,1,0.0,,,,
2401ME,4,ME2203,CORE,1,0.0,,,,
2401ME,4,ME2204,CORE,1,0.0,,,,
2401ME,4,ME2202,CORE,1,1.0,,,,
2401ME,5,ME3101,CORE,1,0.0,,,,
2401ME,5,ME3102,CORE,1,0.0,,,,
2401ME,5,ME3103,CORE,1,0.0,,,,
2401ME,5,ME3104,CORE,1,0.0,,,,
2401ME,5,ME3105,CORE,1,0.0,,,,
2401ME,5,ME3104,CORE,1,1.0,,,,
2401ME,6,ME3201,CORE,1,0.0,,,,
2401ME,6,ME3202,CORE,1,0.0,,,,
2401ME,6,ME3203,CORE,1,0.0,,,,
2401ME,6,ME3204,CORE,1,0.0,,,,
2401ME,6,ME3205,CORE,1,0.0,,,,
2401ME,6,ME3201,CORE,1,1.0,,,,
2401ME,7,ME4198,SI,1,0.0,,,,
2401ME,7,ME4199,P1,1,0.0,,,,
2401ME,8,ME4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401MM,1,MA1101,CORE,1,0.0,,,,
2401MM,1,CS1101,CORE,1,0.0,,,,
2401MM,1,PH1101/PH1201,CORE,1,0.0,,,,
2401MM,1,CE1101/CE1201,CORE,1,0.0,,,,
2401MM,1,EE1101/EE1201,CORE,1,0.0,,,,
2401MM,2,MA1201,CORE,1,0.0,,,,
2401MM,2,CS1201,CORE,1,0.0,,,,
2401MM,2,CH1201/CH1101,CORE,1,0.0,,,,
2401MM,2,ME1201/ME1101,CORE,1,0.0,,,,
2401MM,2,ME1202/ME1102,CORE,1,0.0,,,,
2401MM,2,IK1101,IKS,1,0.0,,,,
2401MM,3,MM2101,CORE,1,1.0,,,,
2401MM,3,MM2102,CORE,1,0.0,,,,
2401MM,3,MM2103,CORE,1,0.0,,,,
2401MM,3,MM2104,CORE,1,0.0,,,,
2401MM,3,MM2105,CORE,1,0.0,,,,
2401MM,4,MM2201,CORE,1,0.0,,,,
2401MM,4,MM2202,CORE,1,1.0,,,,
2401MM,4,MM2203,CORE,1,0.0,,,,
2401MM,4,MM2204,CORE,1,0.0,,,,
2401MM,4,MM2205,CORE,1,0.0,,,,
2401MM,5,MM3101,CORE,1,0.0,,,,
2401MM,5,MM3102,CORE,1,0.0,,,,
2401MM,5,MM3103,CORE,1,1.0,,,,
2401MM,5,MM3104,CORE,1,0.0,,,,
2401MM,5,MM3105,CORE,1,0.0,,,,
2401MM,6,MM3201,CORE,1,0.0,,,,
2401MM,6,MM3202,CORE,1,0.0,,,,
2401MM,6,MM3203,CORE,1,1.0,,,,
2401MM,6,MM3204,CORE,1,0.0,,,,
2401MM,6,MM3205,CORE,1,0.0,,,,
2401MM,6,MM3210,CORE,1,0.0,,,,
2401MM,7,MM4198,SI,1,0.0,,,,
2401MM,7,MM4199,P1,1,0.0,,,,
2401MM,8,MM4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,1,MA1101,CORE,1,0.0,,,,
,1,CS1101,CORE,1,0.0,,,,
,1,PH1101/PH1201,CORE,1,0.0,,,,
,1,CE1101/CE1201,CORE,1,0.0,,,,
,1,EE1101/EE1201,CORE,1,0.0,,,,
,1,HS1101,CORE,1,0.0,,,,
,2,MA1201,CORE,1,0.0,,,,
,2,CS1201,CORE,1,0.0,,,,
,2,CH1201/CH1101,CORE,1,0.0,,,,
,2,ME1201/ME1101,CORE,1,0.0,,,,
,2,ME1202/ME1102,CORE,1,0.0,,,,
,2,IK1101,IKS,1,0.0,,,,
,3,EP2101,CORE,1,0.0,,,,
,3,EP2102,CORE,1,0.0,,,,
,3,EP2103,CORE,1,0.0,,,,
,3,EP2104,CORE,1,0.0,,,,
,4,EP2201,CORE,1,0.0,,,,
,4,EP2202,CORE,1,0.0,,,,
,4,EP2203,CORE,1,0.0,,,,
,4,EP2204,CORE,1,0.0,,,,
,4,EP2205,CORE,1,0.0,,,,
,4,EP22PQ,ID1,1,0.0,,,,
,5,EP3101,CORE,1,0.0,,,,
,5,EP3102,CORE,1,0.0,,,,
,5,EP3103,CORE,1,0.0,,,,
,5,EP3104,CORE,1,0.0,,,,
,5,EP3105,CORE,1,0.0,,,,
,5,EP31XX,ID2,1,0.0,,,,
,6,EP3201,CORE,1,0.0,,,,
,6,EP3202,CORE,1,0.0,,,,
,6,EP3203,CORE,1,0.0,,,,
,6,EP3204,CORE,1,0.0,,,,
,7,EP4105,CORE,1,0.0,,,,
,7,PHXXXX,ID3,1,0.0,,,,
,7,PH4198,SI,1,0.0,,,,
,7,PH4199,P1,1,0.0,,,,
,8,PH4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2411CB,1,HS5111,C,1,0.0,,,,
2411CB,1,CB5101,C,1,0.0,,,,
2411CB,1,CB5102,C,1,0.0,,,,
2411CB,1,CB5103,C,1,0.0,,,,
2411CB,2,CB5201,C,1,0.0,,,,
2411CB,2,CB5202,C,1,0.0,,,,
2411CB,2,CB5203,C,1,0.0,,,,
2411CB,2,RM6201,RM,1,0.0,,,,
2411CB,2,IK6201,IKS,1,0.0,,,,
2411CB,3,CB6198,SI,1,0.0,,,,
2411CB,3,CB6199,P1,1,0.0,,,,
2411CB,4,CB6299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2411CE,1,CE5101,C,1,0.0,,,,
2411CE,1,CE5102,C,1,0.0,,,,
2411CE,1,CE5103,C,1,0.0,,,,
2411CE,2,CE5201,C,1,0.0,,,,
2411CE,2,CE5202,C,1,0.0,,,,
2411CE,2,CE5203,C,1,0.0,,,,
2411CE,2,RM6201,RM,1,0.0,,,,
2411CE,2,IK6201,IKS,1,0.0,,,,
2411CE,3,CE6198,SI,1,0.0,,,,
2411CE,3,CE6199,P1,1,0.0,,,,
2411CE,4,CE6299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
