Parent Department,Course,Specialization,Minor Offered in,Roll Number,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 12
HSS,,Bachelor of Science (Economics),,2401ES,"C,C,C,C,C,HS1","C,C,C,C,C,IKS",,,,,,,,,,
Mechanical Engineering,Btech,Mechanical Engineering,Thermal Engineering,2401ME,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,HS1,m1","C,C,C,C,IDE1, m2","C,C,C,C,C,IDE2, m3","C,C,C,C,C,m4","DE1,DE2,IDE3,HS2,SI,P1","DE3,DE4,DE5,P2",,,,
"Engineering Physics and Minors in Physics, Nanoscience, Optics,  Energy Storage Technology, Quantum Technology",Btech,"Engineering Physics and Minors in Physics, Nanoscience, Optics,  Energy Storage Technology, Quantum Technology","Physics, Nanoscience, Optics,  Energy Storage Technology, Quantum Technology",NS,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,C,IDE2","C,C,C,C, DE1, DE2","C, DE3, HS2, IDE3, S1, P1","DE4, DE5, DE6, DE7, P2",,,,
Civil and Environmental Engineering,Mtech,Geotechnical Engineering,,2411CE,"C,C,C,C,DE1,DE2,IDE","C,C,C,DE3,DE4,RM,IKS","SI,P1",P2,,,,,,,,
Civil and Environmental Engineering,Mtech,Transportation Engineering,,2411CE,"C,C,C,DE1,DE2,IDE,HS1","C,C,C,DE3,DE4,RM,IKS","SI,P1",P2,,,,,,,,
Civil and Environmental Engineering,Mtech,Structural Engineering,,2411CE,"HS1,C,C,C,DE1,DE2,IDE1","C,C,DE3,DE4,RM,IKS","SI,P1",P2,,,,,,,,
Civil and Environmental Engineering,Mtech,Civil Engineering,,2411CE,"C,C,DE1,DE2,DE3,HS1,C,IDE1","C,C,DE4,DE5,DE6,C,RM,IKS","SI,P1",P2,,,,,,,,
Civil and Environmental Engineering,M. Tech,Artificial Intelligence,,2411AI,"C,C,DE1,DE2,HS1,C,IDE1","C,C,DE3,DE4,DE5,RM,C,IKS","SI,P1",P2,,,,,,,,
Civil and Environmental Engineering,M. Tech,Environmental Engineering,,2411CE,"HS,C,C,C,DE1,DE2,IDE","C,C,C,DE3,DE4,RM,IKS","SI,P1",P2,,,,,,,,
Computer Science & Engineering,M.Tech,Artifical Intelligence,,2411AI,"C,C,C,C,DE1,DE2,HS","C,C,C, DE3,DE4, DE5, RM,IKS","SI,P1",P2,,,,,,,,
Computer Science & Engineering,M.Tech,Computer Science & Engineering,,2411CS,"C,C,C,C,DE1,DE2,HS","C,C,C,C,DE3,DE4,RM,IKS","SI,P1",P2,,,,,,,,
