Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor
Department of Chemistry,,2401CT,,1,Electrical Sciences,3-0-3,4.5,Core,0.0
Department of Chemistry,,2401CT,HS1101,1,English for Professionals,2-0-1,2.5,Core,0.0
Department of Chemistry,,2401CT,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0.0
Department of Chemistry,,2401CT,CS1201,2,Data Structure,3-0-3,4.5,Core,0.0
Department of Chemistry,,2401CT,,2,Chemistry,3-1-3,5.5,Core,0.0
Department of Chemistry,,2401CT,,2,Mechanical Fabrication,0-0-3,1.5,Core,0.0
Department of Chemistry,,2401CT,,2,Engineering Mechanics,3-1-0,4,Core,0.0
Department of Chemistry,,2401CT,IK1101,2,Indian Knowledge System(IKS),3-0-0,3,IKS,0.0
Department of Chemistry,,2401CT,CH2101,3,Organic Chemistry,3-1-0,4,Core,0.0
Department of Chemistry,,2401CT,CH2102,3,Inorganic Chemistry,3-1-0,4,Core,0.0
Department of Chemistry,,2401CT,CH2103,3,Introduction to Quantum Chemistry,3-1-0,4,Core,0.0
Department of Chemistry,,2401CT,CH2104,3,Fluid Mechanics,3-1-2,5,Core,0.0
Department of Chemistry,,2401CT,CH2105,3,Chemical Process Calculations,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,HS21PQ,3,HSS Elective-I,3-0-0,3,HS1,0.0
Department of Chemistry,,2401CT,CH2201,4,Structure and function of Biomolecules,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,CH2202,4,Introduction to Organometallics,3-1-0,4,Core,1.0
Department of Chemistry,,2401CT,CH2203,4,Chemical Thermodynamics and Equilibrium,3-1-0,4,Core,0.0
Department of Chemistry,,2401CT,CH2204,4,Industrial Chemistry,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,CH2205,4,Chemical Technology Laboratory I,0-0-6,3,Core,0.0
Department of Chemistry,,2401CT,CH2206,4,IDE1: Green Science and Technology,3-0-0,3,IDE1,0.0
Department of Chemistry,,2401CT,CH3101,5,Macromolecular Science and Engineering,3-1-0,4,Core,1.0
Department of Chemistry,,2401CT,CH3102,5,Design and Applications of Nanomaterials,2-1-0,3,Core,0.0
Department of Chemistry,,2401CT,CH3103,5,Chemical Kinetics and Electrochemistry,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,CH3104,5,Techniques for Chemical Analysis,3-1-0,4,Core,1.0
Department of Chemistry,,2401CT,CH3105,5,Chemical Technology Laboratory II,0-0-6,3,Core,0.0
Department of Chemistry,,2401CT,CH3106,5,IDE1I: Synthesis of Industrially Important Inorganic Molecules,3-0-0,3,IDE2,0.0
Department of Chemistry,,2401CT,CH3201,6,Medicinal Chemistry,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,CH3202,6,Environmental Science & Technology,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,CH3203,6,Computational Chemistry,3-0-2,4,Core,1.0
Department of Chemistry,,2401CT,CH3204,6,Chemistry for Propellants and Pyrotechnics,3-0-0,3,Core,0.0
Department of Chemistry,,2401CT,CH3205,6,Chemical Technology Laboratory III,0-0-6,3,Core,0.0
Department of Chemistry,,2401CT,CH32PQ,6,Department Elective-I,3-0-0,3,DE1,0.0
Department of Chemistry,,2401CT,CH41PQ,7,Departmental Elective   II,3-0-0,3,DE2,0.0
Department of Chemistry,,2401CT,CH41PQ,7,Departmental Elective   III,3-0-0,3,DE3,0.0
Department of Chemistry,,2401CT,CH4111,7,IDE1II: Analytical Chemistry,3-0-0,3,IDE3,0.0
Department of Chemistry,,2401CT,HS41PQ,7,HSS Elective II,3-0-0,3,HS2,0.0
Department of Chemistry,,2401CT,CH4198,7,Summer Internship*,0-0-12,3,SI,0.0
Department of Chemistry,,2401CT,CH4199,7,Project   I,0-0-6,6,P1,0.0
Department of Chemistry,,2401CT,CH42XX,8,Departmental Elective   IV,3-0-0,3,DE4,0.0
Department of Chemistry,,2401CT,CH42XX,8,Departmental Elective   V,3-0-0,3,DE5,0.0
Department of Chemistry,,2401CT,CH42XX,8,Departmental Elective   VI,3-0-0,3,DE6,0.0
Department of Chemistry,,2401CT,CH4299,8,Project   II,0-0-16,8,P2,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,HS1101,1,English for Professionals,2-0-1,2.5,HS,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS1201,2,Data Structure,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,IK1101,2,IKS,3-0-0,3,IKS,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2101,3,Algorithm,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2102,3,Digital Logic and Computer Organization,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2103,2,Artificial Intelligence Concepts,2-0-2,3,Core,1.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2104,3,Discrete Mathematics,3-0-0,3,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2105,3,Optimization Techniques,3-0-0,3,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,HS21PQ,3,HSS Elective I,3-0-0,3,HS,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2201,4,Formal Language and Automata Theory,3-0-0,3,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2202,4,Database and Warehousing,3-0-2,4,Core,1.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2203,4,Artificial Intelligence,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2204,4,IT Workshop,0-2-2,3,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2206,4,Data Analytics and Visualization,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2209,4,IDE1 (Introduction to Data Science),3-0-0,3,IDE1,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3101,5,Operating System,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3102,5,Computer Network,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3103,5,Machine Learning,3-0-3,4.5,Core,1.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3105,5,Natural Language Processing,3-0-3,4.5,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3109,5,IDE1I (Computer Graphics),3-0-0,3,IDE2,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3201,6,Cyber Security,3-0-2,4,Core,0.0
Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3202,6,Deep Learning,3-0-3,4.5,Core,0.0
