1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
1368,,,,,,,,,,,,,,,,,,,,,
1369,,,,,,,,,,,,,,,,,,,,,
1370,,,,,,,,,,,,,,,,,,,,,
1371,,,,,,,,,,,,,,,,,,,,,
1372,,,,,,,,,,,,,,,,,,,,,
1373,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,,,
1375,,,,,,,,,,,,,,,,,,,,,
1376,,,,,,,,,,,,,,,,,,,,,
1377,,,,,,,,,,,,,,,,,,,,,
1378,,,,,,,,,,,,,,,,,,,,,
1379,,,,,,,,,,,,,,,,,,,,,
1380,,,,,,,,,,,,,,,,,,,,,
Vishal Jaiswal,,,,,,,,,,,,,,,,,,,,,
1381,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,HS5111,SEM-1,Technical Writing and Soft Skills,1-2-2,4,HS,0,,,,,,,,,,,
1382,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC5101,SEM-1,Design and Analysis of Algorithms,3-1-2,5,CORE,0,,,,,,,,,,,
1383,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC5102,SEM-1,Probability and Statistics,3-0-2,4,CORE,0,,,,,,,,,,,
1384,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX51PQ/XX61PQ,SEM-1,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
1385,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX51PQ/XX61PQ,SEM-1,DE2,3-0-0,3,DE2,0,,,,,,,,,,,
1386,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX51PQ/XX61PQ,SEM-1,DE3,3-0-0,3,DE3,0,,,,,,,,,,,
1387,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX51PQ/XX61PQ,SEM-1,IDE,3-0-0,3,1DE,0,,,,,,,,,,,
1388,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC5201,SEM-2,Advanced Artificial Intelligence,3-1-2,5,CORE,0,,,,,,,,,,,
1389,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC5202,SEM-2,Numerical Linear Algebra and Optimization Techniques,3-0-2,4,CORE,0,,,,,,,,,,,
1390,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX52PQ/XX62PQ,SEM-2,DE4,3-0-0,3,DE4,0,,,,,,,,,,,
1391,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX52PQ/XX62PQ,SEM-2,DE5,3-0-0,3,DE5,0,,,,,,,,,,,
1392,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,XX52PQ/XX62PQ,SEM-2,DE6,3-0-0,3,DE6,0,,,,,,,,,,,
1393,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,RM6201,SEM-2,Research Methodology,3-1-0,4,RM,0,,,,,,,,,,,
1394,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,IK6201,SEM-2,Indian Knowledge System,3-0-0,3,IK,0,,,,,,,,,,,
1395,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC6198,SEM-3,Summer Internship Evaluation / Mini Project,0-0-12,3,SI,0,,,,,,,,,,,
1396,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC6199,SEM-3,Project I,0-0-30,15,P1,0,,,,,,,,,,,
1397,Mathematics and Computing,M.Tech in Mathematics and Computing,2411MC,MC6299,SEM-4,Project II,0-0-42,21,P2,0,,,,,,,,,,,
1398,,,,,,,,,,,,,,,,,,,,,
1399,,,,,,,,,,,,,,,,,,,,,
1400,,,,,,,,,,,,,,,,,,,,,
1401,,,,,,,,,,,,,,,,,,,,,
1402,,,,,,,,,,,,,,,,,,,,,
1403,,,,,,,,,,,,,,,,,,,,,
1404,,,,,,,,,,,,,,,,,,,,,
1405,,,,,,,,,,,,,,,,,,,,,
1406,,,,,,,,,,,,,,,,,,,,,
1407,,,,,,,,,,,,,,,,,,,,,
1408,,,,,,,,,,,,,,,,,,,,,
1409,,,,,,,,,,,,,,,,,,,,,
1410,,,,,,,,,,,,,,,,,,,,,
1411,,,,,,,,,,,,,,,,,,,,,
1412,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,,,
1414,,,,,,,,,,,,,,,,,,,,,
1415,,,,,,,,,,,,,,,,,,,,,
1416,,,,,,,,,,,,,,,,,,,,,
1417,,,,,,,,,,,,,,,,,,,,,
1418,,,,,,,,,,,,,,,,,,,,,
1419,,,,,,,,,,,,,,,,,,,,,
1420,,,,,,,,,,,,,,,,,,,,,
1421,,,,,,,,,,,,,,,,,,,,,
1422,,,,,,,,,,,,,,,,,,,,,
1423,,,,,,,,,,,,,,,,,,,,,
1424,,,,,,,,,,,,,,,,,,,,,
1425,,,,,,,,,,,,,,,,,,,,,
1426,,,,,,,,,,,,,,,,,,,,,
1427,,,,,,,,,,,,,,,,,,,,,
1428,,,,,,,,,,,,,,,,,,,,,
1429,,,,,,,,,,,,,,,,,,,,,
1430,,,,,,,,,,,,,,,,,,,,,
1431,,,,,,,,,,,,,,,,,,,,,
1432,,,,,,,,,,,,,,,,,,,,,
1433,,,,,,,,,,,,,,,,,,,,,
1434,,,,,,,,,,,,,,,,,,,,,
1435,,,,,,,,,,,,,,,,,,,,,
1436,,,,,,,,,,,,,,,,,,,,,
1437,,,,,,,,,,,,,,,,,,,,,
1438,,,,,,,,,,,,,,,,,,,,,
1439,,,,,,,,,,,,,,,,,,,,,
1440,,,,,,,,,,,,,,,,,,,,,
Raja Laha,,,,,,,,,,,,,,,,,,,,,
1441,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,HS5111,1,Technical Writing and Soft Skill,1-2-2,4,HS1,0,,,,,,,,,,,
1442,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5101,1,Advanced Engineering Mathematics,3-1-0,4,Core,0,,,,,,,,,,,
1443,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5103,1,Finite Element Analysis,3-0-0,3,Core,0,,,,,,,,,,,
1444,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5108,1,Deformation-based Manufacturing,3-0-0,3,Core,0,,,,,,,,,,,
1445,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME61PQ,1,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
1446,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME61PQ,1,DE1I,3-0-0,3,DE2,0,,,,,,,,,,,
1447,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5109,1,Manufacturing Lab - I,0-0-3,1.5,Core,0,,,,,,,,,,,
1448,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,XX61PQ,1,IDE,3-0-0,3,IDE1,0,,,,,,,,,,,
1449,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5201,2,Advanced Engineering Software Lab,1-0-4,3,Core,0,,,,,,,,,,,
1450,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5203,2,Measurement and Instrumentation,3-0-0,3,Core,0,,,,,,,,,,,
1451,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5207,2,Solidification-based Manufacturing,3-1-0,4,Core,0,,,,,,,,,,,
1452,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME62PQ,2,DE1II,3-0-0,3,DE3,0,,,,,,,,,,,
1453,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME62PQ,2,DE1V,3-0-0,3,DE4,0,,,,,,,,,,,
1454,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,RM6201,2,RM,3-1-0,4,RM,0,,,,,,,,,,,
1455,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME5208,2,Manufacturing Lab - II,0-0-3,1.5,Core,0,,,,,,,,,,,
1456,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,IK6201,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
1457,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME6198,3,Summer Internship / Mini Project,0-0-12,3,SI,0,,,,,,,,,,,
1458,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME6199,3,Project I,0-0-30,15,P1,0,,,,,,,,,,,
1459,Advanced Manufacturing Technology,Advanced Manufacturing Technology,2411ME,ME6299,4,Project II,0-0-42,21,P2,0,,,,,,,,,,,
1460,,,,,,,,,,,,,,,,,,,,,
1461,,,,,,,,,,,,,,,,,,,,,
1462,,,,,,,,,,,,,,,,,,,,,
1463,,,,,,,,,,,,,,,,,,,,,
1464,,,,,,,,,,,,,,,,,,,,,
1465,,,,,,,,,,,,,,,,,,,,,
1466,,,,,,,,,,,,,,,,,,,,,
1467,,,,,,,,,,,,,,,,,,,,,
1468,,,,,,,,,,,,,,,,,,,,,
1469,,,,,,,,,,,,,,,,,,,,,
1470,,,,,,,,,,,,,,,,,,,,,
1471,,,,,,,,,,,,,,,,,,,,,
1472,,,,,,,,,,,,,,,,,,,,,
1473,,,,,,,,,,,,,,,,,,,,,
1474,,,,,,,,,,,,,,,,,,,,,
1475,,,,,,,,,,,,,,,,,,,,,
1476,,,,,,,,,,,,,,,,,,,,,
1477,,,,,,,,,,,,,,,,,,,,,
1478,,,,,,,,,,,,,,,,,,,,,
1479,,,,,,,,,,,,,,,,,,,,,
1480,,,,,,,,,,,,,,,,,,,,,
1481,,,,,,,,,,,,,,,,,,,,,
1482,,,,,,,,,,,,,,,,,,,,,
1483,,,,,,,,,,,,,,,,,,,,,
1484,,,,,,,,,,,,,,,,,,,,,
1485,,,,,,,,,,,,,,,,,,,,,
1486,,,,,,,,,,,,,,,,,,,,,
1487,,,,,,,,,,,,,,,,,,,,,
1488,,,,,,,,,,,,,,,,,,,,,
1489,,,,,,,,,,,,,,,,,,,,,
1490,,,,,,,,,,,,,,,,,,,,,
1491,,,,,,,,,,,,,,,,,,,,,
1492,,,,,,,,,,,,,,,,,,,,,
1493,,,,,,,,,,,,,,,,,,,,,
1494,,,,,,,,,,,,,,,,,,,,,
1495,,,,,,,,,,,,,,,,,,,,,
1496,,,,,,,,,,,,,,,,,,,,,
1497,,,,,,,,,,,,,,,,,,,,,
1498,,,,,,,,,,,,,,,,,,,,,
1499,,,,,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,,,,,,,,,,,,
Biswajit Sarkar,,,,,,,,,,,,,,,,,,,,,
1501,Mechanical Design,,,HS5111,1,Technical Writing and Soft Skill,1-2-2,4,HS1,0,,,,,,,,,,,
1502,Mechanical Design,,,ME5101,1,Advanced Engineering Mathematics,3-1-0,4,Core,0,,,,,,,,,,,
1503,Mechanical Design,,,ME5102,1,Theory of Elasticity,3-0-0,3,Core,0,,,,,,,,,,,
1504,Mechanical Design,,,ME5103,1,Finite Element Analysis,3-0-0,3,Core,0,,,,,,,,,,,
1505,Mechanical Design,,,ME61PQ,1,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
1506,Mechanical Design,,,ME61PQ,1,DE1I,3-0-0,3,DE2,0,,,,,,,,,,,
1507,Mechanical Design,,,ME5104,1,Design Lab - I,0-0-3,1.5,Core,0,,,,,,,,,,,
1508,Mechanical Design,,,XX61PQ,1,IDE,3-0-0,3,IDE1,0,,,,,,,,,,,
1509,Mechanical Design,,,ME5201,2,Advanced Engineering Software Lab,1-0-4,3,Core,0,,,,,,,,,,,
1510,Mechanical Design,,,ME5202,2,Advanced Dynamics & Vibration,3-1-0,4,Core,0,,,,,,,,,,,
1511,Mechanical Design,,,ME5203,2,Measurement and Instrumentation,3-0-0,3,Core,0,,,,,,,,,,,
1512,Mechanical Design,,,ME62PQ,2,DE1II,3-0-0,3,DE3,0,,,,,,,,,,,
1513,Mechanical Design,,,ME62PQ,2,DE1V,3-0-0,3,DE4,0,,,,,,,,,,,
1514,Mechanical Design,,,RM6201,2,Research Methodology,3-1-0,4,RM1,0,,,,,,,,,,,
1515,Mechanical Design,,,ME5204,2,Design Lab - II,0-0-3,1.5,Core,0,,,,,,,,,,,
1516,Mechanical Design,,,IK6201,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
1517,Mechanical Design,,,ME6198,3,Summer Internship / Mini Project*,0-0-12,3,SI,0,,,,,,,,,,,
1518,Mechanical Design,,,ME6199,3,Project I**,0-0-30,15,P1,0,,,,,,,,,,,
1519,Mechanical Design,,,ME6299,4,Project II**,0-0-42,21,P2,0,,,,,,,,,,,
1520,,,,,,,,,,,,,,,,,,,,,
1521,,,,,,,,,,,,,,,,,,,,,
1522,,,,,,,,,,,,,,,,,,,,,
1523,,,,,,,,,,,,,,,,,,,,,
1524,,,,,,,,,,,,,,,,,,,,,
1525,,,,,,,,,,,,,,,,,,,,,
1526,,,,,,,,,,,,,,,,,,,,,
1527,,,,,,,,,,,,,,,,,,,,,
1528,,,,,,,,,,,,,,,,,,,,,
1529,,,,,,,,,,,,,,,,,,,,,
1530,,,,,,,,,,,,,,,,,,,,,
1531,,,,,,,,,,,,,,,,,,,,,
1532,,,,,,,,,,,,,,,,,,,,,
1533,,,,,,,,,,,,,,,,,,,,,
1534,,,,,,,,,,,,,,,,,,,,,
1535,,,,,,,,,,,,,,,,,,,,,
1536,,,,,,,,,,,,,,,,,,,,,
1537,,,,,,,,,,,,,,,,,,,,,
1538,,,,,,,,,,,,,,,,,,,,,
1539,,,,,,,,,,,,,,,,,,,,,
1540,,,,,,,,,,,,,,,,,,,,,
1541,,,,,,,,,,,,,,,,,,,,,
1542,,,,,,,,,,,,,,,,,,,,,
1543,,,,,,,,,,,,,,,,,,,,,
1544,,,,,,,,,,,,,,,,,,,,,
1545,,,,,,,,,,,,,,,,,,,,,
1546,,,,,,,,,,,,,,,,,,,,,
1547,,,,,,,,,,,,,,,,,,,,,
1548,,,,,,,,,,,,,,,,,,,,,
1549,,,,,,,,,,,,,,,,,,,,,
1550,,,,,,,,,,,,,,,,,,,,,
1551,,,,,,,,,,,,,,,,,,,,,
1552,,,,,,,,,,,,,,,,,,,,,
1553,,,,,,,,,,,,,,,,,,,,,
1554,,,,,,,,,,,,,,,,,,,,,
1555,,,,,,,,,,,,,,,,,,,,,
1556,,,,,,,,,,,,,,,,,,,,,
1557,,,,,,,,,,,,,,,,,,,,,
1558,,,,,,,,,,,,,,,,,,,,,
1559,,,,,,,,,,,,,,,,,,,,,
1560,,,,,,,,,,,,,,,,,,,,,
Singam Setty Deshik,,,,,,,,,,,,,,,,,,,,,
1561,Mechanical Engineering,Mechatronics,,HS5111,1,Technical Writing and Soft Skill ,1-2-2,4,HS1,0,,,,,,,,,,,
1562,Mechanical Engineering,Mechatronics,,ME5101,1,Advanced Engineering Mathematics,3-1-0,4,Core,0,,,,,,,,,,,
1563,Mechanical Engineering,Mechatronics,,MH5101,1,Fundamental of Mechatronics,3-0-0,3,Core,0,,,,,,,,,,,
1564,Mechanical Engineering,Mechatronics,,EC5152,1,Embedded System,3-0-2,4,Core,0,,,,,,,,,,,
1565,Mechanical Engineering,Mechatronics,,XX51PQ/XX61PQ,1,Mechatronics Elective - 1,3-0-0,3,DE1,0,XX51PQ/XX61PQ,,,,,,,,,,
1566,Mechanical Engineering,Mechatronics,,XX61PQ,1,Mechatronics Elective - 2,3-0-0,3,DE2,0,,,,,,,,,,,
1567,Mechanical Engineering,Mechatronics,,MH5102,1,Mechatronics Lab - 1,0-0-3,1.5,DE3,0,,,,,,,,,,,
1568,Mechanical Engineering,Mechatronics,,XX61PQ,1,IDE,3-0-0,3,IDE1,0,,,,,,,,,,,
1569,Mechanical Engineering,Mechatronics,,MH5201,2,Sensors and Actuators,3-0-0,3,Core,0,,,,,,,,,,,
1570,Mechanical Engineering,Mechatronics,,MH5202,2,Modeling and Simulation of Mechatronic Systems,3-0-0,3,Core,0,,,,,,,,,,,
1571,Mechanical Engineering,Mechatronics,,XX62PQ,2,Mechatronics Elective - 3,3-0-0,3,DE3,0,,,,,,,,,,,
1572,Mechanical Engineering,Mechatronics,,XX62PQ,2,Mechatronics Elective - 4,3-0-0,3,DE4,0,,,,,,,,,,,
1573,Mechanical Engineering,Mechatronics,,XX52PQ/XX62PQ,2,Mechatronics Elective - 5,3-0-0,3,DE5,0,XX52PQ/XX62PQ,,,,,,,,,,
1574,Mechanical Engineering,Mechatronics,,RM6201,2,Research Methodology,3-1-0,4,RM,0,,,,,,,,,,,
1575,Mechanical Engineering,Mechatronics,,MH5203,2,Mechatronics Lab - 2,0-0-3,1.5,Core,0,,,,,,,,,,,
1576,Mechanical Engineering,Mechatronics,,IK6201,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
1577,Mechanical Engineering,Mechatronics,,MH6198,3,Summer Internship/ Mini Project,0-0-12,3,SI,0,,,,,,,,,,,
1578,Mechanical Engineering,Mechatronics,,MH6199,3,Project 1,0-0-30,15,P1,0,,,,,,,,,,,
1579,,,,MH6299,4,Project 2,0-0-42,21,P2,0,,,,,,,,,,,
1580,,,,,,,,,,,,,,,,,,,,,
1581,,,,,,,,,,,,,,,,,,,,,
1582,,,,,,,,,,,,,,,,,,,,,
1583,,,,,,,,,,,,,,,,,,,,,
1584,,,,,,,,,,,,,,,,,,,,,
1585,,,,,,,,,,,,,,,,,,,,,
1586,,,,,,,,,,,,,,,,,,,,,
1587,,,,,,,,,,,,,,,,,,,,,
1588,,,,,,,,,,,,,,,,,,,,,
1589,,,,,,,,,,,,,,,,,,,,,
1590,,,,,,,,,,,,,,,,,,,,,
1591,,,,,,,,,,,,,,,,,,,,,
1592,,,,,,,,,,,,,,,,,,,,,
1593,,,,,,,,,,,,,,,,,,,,,
1594,,,,,,,,,,,,,,,,,,,,,
1595,,,,,,,,,,,,,,,,,,,,,
1596,,,,,,,,,,,,,,,,,,,,,
1597,,,,,,,,,,,,,,,,,,,,,
1598,,,,,,,,,,,,,,,,,,,,,
1599,,,,,,,,,,,,,,,,,,,,,
1600,,,,,,,,,,,,,,,,,,,,,
1601,,,,,,,,,,,,,,,,,,,,,
1602,,,,,,,,,,,,,,,,,,,,,
1603,,,,,,,,,,,,,,,,,,,,,
1604,,,,,,,,,,,,,,,,,,,,,
1605,,,,,,,,,,,,,,,,,,,,,
1606,,,,,,,,,,,,,,,,,,,,,
1607,,,,,,,,,,,,,,,,,,,,,
1608,,,,,,,,,,,,,,,,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,
1610,,,,,,,,,,,,,,,,,,,,,
1611,,,,,,,,,,,,,,,,,,,,,
1612,,,,,,,,,,,,,,,,,,,,,
1613,,,,,,,,,,,,,,,,,,,,,
1614,,,,,,,,,,,,,,,,,,,,,
1615,,,,,,,,,,,,,,,,,,,,,
1616,,,,,,,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,,,,,
1619,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,
Aman Verma,,,,,,,,,,,,,,,,,,,,,
1621,Department of Mechanical Engineering,,,HS5111,1,Technical Writing and Soft Skill,1-2-4,4,HS1,0,,,,,,,,,,,
1622,Department of Mechanical Engineering,,,ME5101,1,Advanced Engineering Mathematics,3-1-0,4,Core,0,,,,,,,,,,,
1623,Department of Mechanical Engineering,,,ME5105,1,Advanced Fluid Mechanics,3-0-0,3,Core,0,,,,,,,,,,,
1624,Department of Mechanical Engineering,,,ME5106,1,Gas Dynamics and Propulsion,3-0-0,3,Core,0,,,,,,,,,,,
1625,Department of Mechanical Engineering,,,ME61XX,1,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
1626,Department of Mechanical Engineering,,,ME61XX,1,DE1I,3-0-0,3,DE2,0,,,,,,,,,,,
1627,Department of Mechanical Engineering,,,ME5107,1,Thermo-Fluid Lab-I,0-0-3,1.5,Core,0,,,,,,,,,,,
1628,Department of Mechanical Engineering,,,XX61PQ,1,IDE,3-0-0,3,IDE1,0,,,,,,,,,,,
1629,Department of Mechanical Engineering,,,ME5201,2,Advanced Engineering Software Lab,1-0-4,3,Core,0,,,,,,,,,,,
1630,Department of Mechanical Engineering,,,ME5205,2,Advanced Heat Transfer,3-1-0,4,Core,0,,,,,,,,,,,
1631,Department of Mechanical Engineering,,,ME5203,2,Measurement and Instrumentation,3-0-0,3,Core,0,,,,,,,,,,,
1632,Department of Mechanical Engineering,,,MEX2XX,2,DE1II,3-0-0,3,DE3,0,,,,,,,,,,,
1633,Department of Mechanical Engineering,,,MEX2XX,2,DE1V,3-0-0,3,DE4,0,,,,,,,,,,,
1634,Department of Mechanical Engineering,,,RM6201,2,Research Methodology,3-1-0,4,RM,0,,,,,,,,,,,
1635,Department of Mechanical Engineering,,,ME5206,2,Thermo-Fluid Lab-II,0-0-3,1.5,Core,0,,,,,,,,,,,
1636,Department of Mechanical Engineering,,,IK6201,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
1637,Department of Mechanical Engineering,,,ME6198,3,Summer Internship / Mini Project*,0-0-12,3,SI,0,,,,,,,,,,,
1638,Department of Mechanical Engineering,,,ME6199,3,Project I**,0-0-30,15,P1,0,,,,,,,,,,,
1639,Department of Mechanical Engineering,,,ME6299,4,Project II**,0-0-42,21,P2,0,,,,,,,,,,,
1640,,,,,,,,,,,,,,,,,,,,,
1641,,,,,,,,,,,,,,,,,,,,,
1642,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,,,,
1644,,,,,,,,,,,,,,,,,,,,,
1645,,,,,,,,,,,,,,,,,,,,,
1646,,,,,,,,,,,,,,,,,,,,,
1647,,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,
1649,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,,
1651,,,,,,,,,,,,,,,,,,,,,
1652,,,,,,,,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,
1656,,,,,,,,,,,,,,,,,,,,,
1657,,,,,,,,,,,,,,,,,,,,,
1658,,,,,,,,,,,,,,,,,,,,,
1659,,,,,,,,,,,,,,,,,,,,,
1660,,,,,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,,
1662,,,,,,,,,,,,,,,,,,,,,
1663,,,,,,,,,,,,,,,,,,,,,
1664,,,,,,,,,,,,,,,,,,,,,
1665,,,,,,,,,,,,,,,,,,,,,
1666,,,,,,,,,,,,,,,,,,,,,
1667,,,,,,,,,,,,,,,,,,,,,
1668,,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,,
1670,,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,,,,,,,,,,,,,,
1672,,,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,,
1679,,,,,,,,,,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,,,,,,
Aishez Singh,,,,,,,,,,,,,,,,,,,,,
1681,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,HS5111,1,Technical Writing and Soft Skill,1-2-2,4,Core,0,,,,,,,,,,,
1682,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM5101,1,Thermodynamics and Phase Transformation,3-1-0,4,Core,0,,,,,,,,,,,
1683,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM5102,1,Concepts in Materials Science,3-0-0,3,Core,0,,,,,,,,,,,
1684,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM5103,1,Mechanical Behavior of Materials,3-0-2,4,Core,0,,,,,,,,,,,
1685,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM5104,1,Nano-structured Materials,3-0-0,3,Core,0,,,,,,,,,,,
1686,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM61PQ,1,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
1687,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,XX61PQ,1,IDE,3-0-0,3,IDE,0,,,,,,,,,,,
1688,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM5205,2,Advanced Polymer Technology,3-0-2,4,Core,0,,,,,,,,,,,
1689,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM5206,2,Advanced Engineering Materials,3-0-2,4,Core,0,,,,,,,,,,,
1690,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM62PQ,2,DE1I,3-0-0,3,DE2,0,,,,,,,,,,,
1691,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM62PQ,2,DE1II,3-0-0,3,DE3,0,,,,,,,,,,,
1692,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM62PQ,2,DE1V,3-0-0,3,DE4,0,,,,,,,,,,,
1693,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,RM6201,2,Research Methodology,3-1-0,4,RM,0,,,,,,,,,,,
1694,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,IK6201,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
1695,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM6198,3,Summer Internship/ Mini Project*,0-0-12,3,SI/P,0,,,,,12,3,,,,,
1696,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM6199,3,Project I,0-0-30,15,P1,0,,,,,30,15,,,,,
1697,Metallurgical and Materials Engineering,M. Tech. in Materials Science and Engineering,2411MM,MM6299,4,Project II,0-0-42,21,P2,0,,,,,,21,,,,,
1698,,,,,,,,,,,,,,,,,,,,,
1699,,,,,,,,,,,,,,,,,,,,,
1700,,,,,,,,,,,,,,,,,,,,,
1701,,,,,,,,,,,,,,,,,,,,,
1702,,,,,,,,,,,,,,,,,,,,,
1703,,,,,,,,,,,,,,,,,,,,,
1704,,,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,,,,,
1706,,,,,,,,,,,,,,,,,,,,,
1707,,,,,,,,,,,,,,,,,,,,,
1708,,,,,,,,,,,,,,,,,,,,,
1709,,,,,,,,,,,,,,,,,,,,,
1710,,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,,,,,,,,,,,,,,,
1712,,,,,,,,,,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,
1714,,,,,,,,,,,,,,,,,,,,,
1715,,,,,,,,,,,,,,,,,,,,,
1716,,,,,,,,,,,,,,,,,,,,,
1717,,,,,,,,,,,,,,,,,,,,,
1718,,,,,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,,,,,
1720,,,,,,,,,,,,,,,,,,,,,
1721,,,,,,,,,,,,,,,,,,,,,
1722,,,,,,,,,,,,,,,,,,,,,
1723,,,,,,,,,,,,,,,,,,,,,
1724,,,,,,,,,,,,,,,,,,,,,
1725,,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,
1727,,,,,,,,,,,,,,,,,,,,,
1728,,,,,,,,,,,,,,,,,,,,,
1729,,,,,,,,,,,,,,,,,,,,,
1730,,,,,,,,,,,,,,,,,,,,,
