1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
67,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,,,,,,,,,
68,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,,,,,,,,,
69,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0,,,,,,,,,,,
70,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,,,,,,,,,
71,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0,,,,,,,,,,,
72,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,IK1101,2,Indian Knowledge System(IKS),3-0-0,3,IKS,0,,,,,,,,,,,
73,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2101,3,Geomatics Engineering,3-1-2,5,Core,0,,,,,,,,,,,
74,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2102,3,Structural Mechanics,3-1-0,4,Core,1,,,,,,,,,,,
75,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2103,3,Fluid Mechanics ,3-1-2,5,Core,0,,,,,,,,,,,
76,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2104,3,Geology for Engineers ,3-0-2,4,Core,0,,,,,,,,,,,
77,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,HS21PQ,3,HSS Elective I ,3-0-0,3,HS1,0,,,,,,,,,,,
78,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2201,4,Structural Analysis ,3-0-2,4,Core,0,,,,,,,,,,,
79,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2202,4,Soil Mechanics,3-0-2,4,Core,0,,,,,,,,,,,
80,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2203,4,Civil Engineering Materials,3-0-2,4,Core,1,,,,,,,,,,,
81,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2204,4,Water Resource Engineering - 1,3-0-0,3,Core,0,,,,,,,,,,,
82,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2205,4,Numerical Methods in Civil Engineering,3-0-0,3,Core,0,,,,,,,,,,,
83,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE22PQ,4,IDE1,3-0-0,3,IDE1,0,,,,,,,,,,,
84,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3101,5,Design of Reinforced Concrete Structures,3-0-2,4,Core,0,,,,,,,,,,,
85,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3102,5,Foundation Engineering  ,3-0-2,4,Core,0,,,,,,,,,,,
86,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3103,5,Transportation Engineering - 1,3-1-2,5,Core,1,,,,,,,,,,,
87,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3104,5,Environmental Engineering - 1,3-0-2,4,Core,0,,,,,,,,,,,
