Course Code,Course Name,LTP,Credit,Type
CE6114,Probabilistic Methods in Geotechnical Engineering,3-0-0,3.0,DE3
CE6128,Highway Geometric Design and Safety,3-0-0,3.0,DE3
CE6129,Airport Engineering,3-0-0,3.0,DE3
PH3230,Engineering Optics,3-0-0,3.0,DE1 and DE1I
PH3231,Laser Physics,3-0-0,3.0,DE1 and DE1I
PH3232,Cryogenic Engineering,3-0-0,3.0,DE1 and DE1I
PH3233,Advanced Quantum Mechanics,3-0-0,3.0,DE1 and DE1I
PH3234,Advanced Mathematical Methods,2-1-0,3.0,DE1 and DE1I
PH3235,Electron Microscopy,3-0-0,3.0,DE1 and DE1I
PH3236,Quantum Computation,2-1-0,3.0,DE1 and DE1I
PH3237,Device Modeling and Design,2-1-0,3.0,DE1 and DE1I
PH3238,Power Sources for Electric Vehicles,3-0-0,3.0,DE1 and DE1I
PH4132,Thin Film Technology,2-1-0,3.0,DE1 and DE1I
PH4232,Thin Film Technology,2-1-0,3.0,DE1 and DE1I
PH4135,X-ray and Applications,3-0-0,3.0,DE1II to DE5II
PH4235,X-ray and Applications,3-0-0,3.0,DE1II to DE5II
PH4136,Optical Quantum Communication,3-0-0,3.0,DE1II to DE5II
PH4236,Optical Quantum Communication,3-0-0,3.0,DE1II to DE5II
PH4137,Nanogenerators and Application in self- powered system,3-0-0,3.0,DE1II to DE5II
PH4237,Nanogenerators and Application in self- powered system,3-0-0,3.0,DE1II to DE5II
PH4138,Medical Physics and Applications,2-1-0,3.0,DE1II to DE5II
PH4238,Medical Physics and Applications,2-1-0,3.0,DE1II to DE5II
PH4139,Superconducting Qubits: Fundamentals and Operation,2-1-0,3.0,DE1II to DE5II
PH4239,Superconducting Qubits: Fundamentals and Operation,2-1-0,3.0,DE1II to DE5II
PH4140,Atomtronics & Quantum Technology,3-0-0,3.0,DE1II to DE5II
PH4240,Atomtronics & Quantum Technology,3-0-0,3.0,DE1II to DE5II
PH4141,Emerging Technologies in Photonics,3-0-0,3.0,DE1II to DE5II
PH4241,Emerging Technologies in Photonics,3-0-0,3.0,DE1II to DE5II
PH4142,Modeling Complex Systems,2-1-0,3.0,DE1II to DE5II
PH4242,Modeling Complex Systems,2-1-0,3.0,DE1II to DE5II
PH4143,Computational methods for classical and quantum physics,2-1-0,3.0,DE1II to DE5II
PH4243,Computational methods for classical and quantum physics,2-1-0,3.0,DE1II to DE5II
PH4144,AC Network Analysis,2-1-0,3.0,DE1II to DE5II
PH4244,AC Network Analysis,2-1-0,3.0,DE1II to DE5II
PH4146,Photovoltaics: Concepts and Applications,3-0-0,3.0,DE1II to DE5II
PH4246,Photovoltaics: Concepts and Applications,3-0-0,3.0,DE1II to DE5II
PH2290,Fundamentals of Electromagnetism PH2291-Waves and Particles,3-0-0,3.0,IDE1
EP2206,Fuel cell fundamentals,3-0-0,3.0,IDE1
PH3190,Mechanics in Physics EP3106-Energy materials processing,3-0-0,3.0,IDE2
PH4190,Photovoltaics and Fuel Cell Technology PH6190-Physics of complex systems,3-0-0,4.0,IDE3
PH6191,Physics of Nanoscience,3-0-0,5.0,IDE3
PH6192,Semiconductor Processing: An Interdisciplinary approach,3-0-0,6.0,IDE3
