Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3109,5,Computer Graphics,3-0-0,3.0,IDE2
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4109,7,Data Analysis and Visualization,3-0-0,3.0,IDE3
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4101 ,7,Introduction to Quantum Computing,3-0-0,3.0,DE1
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4102 ,7,Deep Learning for Video Surveillance Systems,3-0-0,3.0,DE1
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4103,7,FPGA based System Design,3-0-0,3.0,DE1
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4104   ,7,Introduction to Information Theory,3-0-0,3.0,DE2
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4105,7,Digital Image Processing,3-0-0,3.0,DE2
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4106,7,Graph Signal Processing,3-0-0,3.0,DE2
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4201,8,Mobile Communications,3-0-0,3.0,DE3
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4202,8,Opto Electronic Devices,3-0-0,3.0,DE3
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EE4203,8,Introduction to Energy Storage Techniques,3-0-0,3.0,DE3
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4203,8,Introduction to Optical Communications,3-0-0,3.0,DE4
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4204 ,8,Low Power Circuits,3-0-0,3.0,DE4
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EE4206 ,8,Fundamentals of Electrical Vehicle Technology,3-0-0,3.0,DE4
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4205          ,8,Biomedical Signal Processing,3-0-0,3.0,DE5
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4206     ,8,High Power Semiconductor Devices,3-0-0,3.0,DE5
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EC4207          ,8,Biomedical Instrumentation,3-0-0,3.0,DE5
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4101,7,Electrical Traction and Propulsion,3-0-0,3.0,DE1
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4102,7,Deep     Learning     for     Video Surveillance Systems,3-0-0,3.0,DE1
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4103,7,FPGA based System Design,3-0-0,3.0,DE1
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4101,7,Introduction     to     Quantum Computing,3-0-0,3.0,DE2
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4105,7,Digital Image Processing,3-0-0,3.0,DE2
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4102,7,Power System Reliability,3-0-0,3.0,DE2
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4201,8,Power      System Protection,3-0-0,3.0,DE3
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4202,8,Digital     Control Systems,3-0-0,3.0,DE3
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4203,8,Introduction     to Energy Storage Techniques,3-0-0,3.0,DE3
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4204,8,Special       Electrical Machines,3-0-0,3.0,DE4
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4205,8,High          Voltage Engineering,3-0-0,3.0,DE4
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EE4206 ,8,Fundamentals       of Electrical Vehicle Technology,3-0-0,3.0,DE4
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4205 ,8,Biomedical Signal Processing,3-0-0,3.0,DE5
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4206,8,High     Power Semiconductor Devices,3-0-0,3.0,DE5
Electrical Engineering,Btech in Electrical and Electronics Engineering,2401EE,EC4207,8,Biomedical Instrumentation,3-0-0,3.0,DE5
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4111,7,Advanced Algorithms,3-0-0,3.0,DE1
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4112,7,Cryptography and Network Security,3-0-0,3.0,DE1
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4113,7,Rings and Modules,3-0-0,3.0,DE1
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4114,7,Deep Learning,2-0-2,3.0,DE2
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4115,7,Fields and Galois theory,3-0-0,3.0,DE2
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4116,7,Mathematical Finance,3-0-0,3.0,DE2
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4211,8,Control Theory,3-0-0,3.0,DE3
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4212,8,Finite Element Analysis,3-0-0,3.0,DE3
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4213,8,Introduction to Coding Theory,3-0-0,3.0,DE3
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4214,8,Portfolio Theory and Risk Management,3-0-0,3.0,DE3
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4215,8,Topology,3-0-0,3.0,DE3
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4215,8,Applied Computational Techniques,3-0-0,3.0,DE4
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4216,8,Differential Geometry,3-0-0,3.0,DE4
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4217,8,Introduction to Mathematical Biology,3-0-0,3.0,DE4
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4218,8,Statistical Decision Theory,3-0-0,3.0,DE4
Mathematics,B. Tech. in Mathematics & Computing,2401MC,MA4220,8,Deep Learning for Computer Vision,2-0-2,3.0,DE5
