2401AI,8,CS4236,DE6,0,,,130,,
2401CS,6,CS3221,DE1,0,,,130,,
2401CS,6,CS3222,DE1,0,,,130,,
2401CS,6,CS3223,DE1,0,,,130,,
2401CS,6,CS3224,DE1,0,,,130,,
2401CS,6,CS3225,DE1,0,,,130,,
2401CS,6,CS3226,DE1,0,,,130,,
2401CS,7,CS4121,DE2,0,,,130,,
2401CS,7,CS4122,DE2,0,,,130,,
2401CS,7,CS4123,DE2,0,,,130,,
2401CS,7,CS4124,DE2,0,,,130,,
2401CS,7,CS4125,DE2,0,,,130,,
2401CS,7,CS4127,DE3,0,,,130,,
2401CS,7,CS4128,DE3,0,,,130,,
2401CS,7,CS4129,DE3,0,,,130,,
2401CS,7,CS4130,DE3,0,,,130,,
2401CS,7,CS4131,DE3,0,,,130,,
2401CS,7,CS4132,DE3,0,,,130,,
2401CS,8,CS4221,DE4,0,,,130,,
2401CS,8,CS4222,DE4,0,,,130,,
2401CS,8,CS4223,DE4,0,,,130,,
2401CS,8,CS4224,DE4,0,,,130,,
2401CS,8,CS4225,DE4,0,,,130,,
2401CS,8,CS4226,DE5,0,,,130,,
2401CS,8,CS4227,DE5,0,,,130,,
2401CS,8,CS4228,DE5,0,,,130,,
2401CS,8,CS4229,DE5,0,,,130,,
2401CS,8,CS4230,DE5,0,,,130,,
2401CS,8,CS4231,DE5,0,,,130,,
2401CS,8,CS4232,DE5,0,,,130,,
2401CS,8,CS4233,DE6,0,,,130,,
2401CS,8,CS4234,DE6,0,,,130,,
2401CS,8,CS4235,DE6,0,,,130,,
2401CS,8,CS4236,DE6,0,,,130,,
2401CS,4,CS2209,IDE1,0,,,130,,
2401CS,5,CS3109,IDE2,0,,,130,,
2401CS,7,CS4109,IDE3,0,,,130,,
2401EC,7,EC4101,DE1,0,,,130,,
2401EC,7,EC4102,DE1,0,,,130,,
2401EC,7,EC4103,DE1,0,,,130,,
2401EC,7,EC4104,DE2,0,,,130,,
2401EC,7,EC4105,DE2,0,,,130,,
2401EC,7,EC4106,DE2,0,,,130,,
2401EC,8,EC4201,DE3,0,,,130,,
2401EC,8,EC4202,DE3,0,,,130,,
2401EC,8,EE4203,DE3,0,,,130,,
2401EC,8,EC4203,DE4,0,,,130,,
2401EC,8,EC4204,DE4,0,,,130,,
2401EC,8,EE4206,DE4,0,,,130,,
2401EC,8,EC4205,DE5,0,,,130,,
2401EC,8,EC4206,DE5,0,,,130,,
2401EC,8,EC4207,DE5,0,,,130,,
2401EE,7,EE4101,DE1,0,,,130,,
2401EE,7,EC4102,DE1,0,,,130,,
2401EE,7,EC4103,DE1,0,,,130,,
2401EE,7,EC4101,DE2,0,,,130,,
2401EE,7,EC4105,DE2,0,,,130,,
2401EE,7,EE4102,DE2,0,,,130,,
2401EE,8,EE4201,DE3,0,,,130,,
